,time,velocity
97,1572263419726,0.197806
98,1572263421727,0.217153
99,1572263423729,0.696026
100,1572263425730,0.809779
101,1572263427732,0.475279
102,1572263429734,0.644304
103,1572263431737,0.162868
104,1572263433741,0.424442
105,1572263435742,0.242409
106,1572263437748,0.371884
107,1572263439749,0.807276
108,1572263441751,0.854679
109,1572263443752,0.585958
110,1572263445753,0.869706
111,1572263447759,0.507548
112,1572263449761,0.892216
113,1572263451762,0.0345061
114,1572263453765,0.88342
115,1572263455766,0.557834
116,1572263457768,0.405083
117,1572263459769,0.0792443
118,1572263461772,0.0852331
119,1572263463773,0.943218
120,1572263465775,0.8025
121,1572263467778,0.70505
122,1572263469784,0.0182497
123,1572263471786,0.635582
124,1572263473787,0.769293
125,1572263475792,0.257672
126,1572263477794,0.9888
127,1572263479796,0.952538
128,1572263481797,0.547248
129,1572263483799,0.324455
130,1572263485800,0.699873
131,1572263487803,0.675802
132,1572263489805,0.874081
133,1572263491809,0.928091
134,1572263493814,0.194557
135,1572263495815,0.0802668
136,1572263497821,0.119693
137,1572263499825,0.529094
138,1572263501826,0.0628105
139,1572263503828,0.344641
140,1572263505829,0.117092
141,1572263507831,0.0778705
142,1572263509835,0.975319
143,1572263511837,0.79896
144,1572263513839,0.738741
145,1572263515845,0.50296
146,1572263517851,0.608854
147,1572263519854,0.836934
148,1572263521856,0.418714
149,1572263523857,0.410257
150,1572263525859,0.991468
151,1572263527865,0.494907
152,1572263529866,0.198228
153,1572263531868,0.870018
154,1572263533870,0.53869
155,1572263535877,0.791474
156,1572263537881,0.221347
157,1572263539882,0.20666
158,1572263541883,0.56632
159,1572263543884,0.906044
160,1572263545890,0.377887
161,1572263547893,0.055288
162,1572263549894,0.732392
163,1572263551900,0.175851
164,1572263553901,0.992637
165,1572263555905,0.638699
166,1572263557906,0.373603
167,1572263559910,0.916215
168,1572263561913,0.142473
169,1572263563918,0.00751042
170,1572263565923,0.804579
171,1572263567928,0.301237
172,1572263569930,0.520871
173,1572263571934,0.518019
174,1572263573940,0.581765
175,1572263575942,0.506043
176,1572263577945,0.458156
177,1572263579948,0.834427
178,1572263581951,0.829184
179,1572263583956,0.207478
180,1572263585962,0.865188
181,1572263587964,0.728338
182,1572263589968,0.977427
183,1572263591974,0.405455
184,1572263593977,0.480196
185,1572263595978,0.144873
186,1572263597982,0.132828
187,1572263599985,0.17968
188,1572263601989,0.277913
189,1572263603990,0.9644
190,1572263605992,0.0157676
191,1572263607997,0.0450501
192,1572263609998,0.950699
193,1572263612000,0.55315
194,1572263614002,0.245957
195,1572263616008,0.841954
196,1572263618013,0.00406343
197,1572263620018,0.090919
198,1572263622020,0.253067
199,1572263624025,0.561296
200,1572263626031,0.84181
201,1572263628032,0.635408
202,1572263630035,0.320754
203,1572263632037,0.89908
204,1572263634042,0.512903
205,1572263636048,0.717381
206,1572263638051,0.803755
207,1572263640052,0.553926
208,1572263642059,0.273695
209,1572263644060,0.0945658
210,1572263646064,0.452027
211,1572263648068,0.311056
212,1572263650070,0.0834952
213,1572263652071,0.173319
214,1572263654072,0.638871
215,1572263656074,0.122491
216,1572263658077,0.466278
217,1572263660079,0.669374
218,1572263662083,0.205175
219,1572263664089,0.90524
220,1572263666090,0.520499
221,1572263668094,0.430114
222,1572263670095,0.593565
223,1572263672098,0.970554
224,1572263674099,0.61686
225,1572263676101,0.68488
226,1572263678106,0.695689
227,1572263680108,0.549578
228,1572263682115,0.883652
229,1572263684120,0.373161
230,1572263686124,0.80559
231,1572263688125,0.158952
232,1572263690129,0.39861
233,1572263692132,0.0677225
234,1572263694135,0.844424
235,1572263696137,0.613145
236,1572263698141,0.911726
237,1572263700142,0.783779
238,1572263702145,0.0363954
239,1572263704147,0.767771
240,1572263706148,0.193277
241,1572263708149,0.724842
242,1572263710154,0.956124
243,1572263712155,0.902161
244,1572263714157,0.416291
245,1572263716158,0.174529
246,1572263718162,0.406351
247,1572263720163,0.498248
248,1572263722164,0.80541
249,1572263724170,0.436105
250,1572263726173,0.611796
251,1572263728179,0.0943077
252,1572263730183,0.449564
253,1572263732184,0.517905
254,1572263734189,0.528719
255,1572263736194,0.402129
256,1572263738195,0.445939
257,1572263740197,0.202061
258,1572263742198,0.0292729
259,1572263744199,0.581266
260,1572263746201,0.833417
261,1572263748202,0.47827
262,1572263750204,0.438859
263,1572263752210,0.774546
264,1572263754211,0.428635
265,1572263756212,0.652899
266,1572263758214,0.401366
267,1572263760220,0.726105
268,1572263762224,0.394045
269,1572263764230,0.123949
270,1572263766231,0.933906
271,1572263768233,0.0367545
272,1572263770235,0.81149
273,1572263772236,0.404865
274,1572263774239,0.278022
275,1572263776243,0.820436
276,1572263778247,0.943245
277,1572263780251,0.293559
278,1572263782253,0.725216
279,1572263784259,0.765473
280,1572263786265,0.964147
281,1572263788271,0.771251
282,1572263790277,0.902867
283,1572263792278,0.612148
284,1572263794284,0.685591
285,1572263796288,0.922854
286,1572263798292,0.870304
287,1572263800294,0.415629
288,1572263802301,0.402402
289,1572263804302,0.575533
290,1572263806304,0.152023
291,1572263808305,0.491059
292,1572263810311,0.945384
293,1572263812316,0.797572
294,1572263814317,0.189491
295,1572263816320,0.110856
296,1572263818321,0.601569
297,1572263820322,0.990292
298,1572263822326,0.890981
299,1572263824329,0.525977
